Experiment,Location,Temperature,Depth,Bottle,Timepoint,Treatment,Target_DOC_Amendment,Inoculum_L,Media_L,Datetime,TOC_Sample,Parallel_Sample,Cell_Sample,DNA_Sample,hours,days,cells,ln_cells,diff_ln_cells,exp_start,exp_end,ln_cells_exp_start,ln_cells_exp_end,cells_exp_start,cells_exp_end,days_exp_start,days_exp_end,mew,doubling,delta_cells,bc,delta_bc,ave_bc,sd_bc,ave_mew,sd_mew,ave_doubling,sd_doubling,ave_delta_cells,sd_delta_cells,ave_delta_bc,sd_delta_bc,ave_lag,sd_lag
144L_2018,Campus Point,20,1,C,0,Ash Leachate,10,1.5,3.5,2018-10-15T16:30:00Z,TRUE,TRUE,TRUE,TRUE,0,0,336545307.786264,19.63424334222386,0,1,2,20.71961595104904,20.930439544194652,996356766.839788,1230196247.2266302,0.6458333333333334,1.1458333333333333,0.42164718629122444,1.6439032515710907,893650939.4403663,0.84136326946566,2.2341273486009157,0.8937220453952912,0.07404649102893844,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,C,1,Ash Leachate,10,1.5,3.5,2018-10-16T08:00:00Z,FALSE,FALSE,TRUE,FALSE,15.5,0.6458333333333334,996356766.839788,20.71961595104904,1.0853726088251783,1,2,20.71961595104904,20.930439544194652,996356766.839788,1230196247.2266302,0.6458333333333334,1.1458333333333333,0.42164718629122444,1.6439032515710907,893650939.4403663,2.49089191709947,2.2341273486009157,2.67525644327061,0.26073081333171555,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,C,2,Ash Leachate,10,1.5,3.5,2018-10-16T20:00:00Z,FALSE,FALSE,TRUE,FALSE,27.5,1.1458333333333333,1230196247.2266302,20.930439544194652,0.21082359314561216,1,2,20.71961595104904,20.930439544194652,996356766.839788,1230196247.2266302,0.6458333333333334,1.1458333333333333,0.42164718629122444,1.6439032515710907,893650939.4403663,3.0754906180665755,2.2341273486009157,3.1431575900423128,0.09569554949280774,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,C,3,Ash Leachate,10,1.5,3.5,2018-10-17T08:00:00Z,FALSE,FALSE,TRUE,FALSE,39.5,1.6458333333333333,1302477953.6003702,20.98753440523002,0.05709486103536676,1,2,20.71961595104904,20.930439544194652,996356766.839788,1230196247.2266302,0.6458333333333334,1.1458333333333333,0.42164718629122444,1.6439032515710907,893650939.4403663,3.2561948840009256,2.2341273486009157,3.4919174971693128,0.33336211650075986,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,C,4,Ash Leachate,10,1.5,3.5,2018-10-17T20:00:00Z,TRUE,TRUE,TRUE,TRUE,51.5,2.1458333333333335,1371723383.87575,21.039333730672105,0.05179932544208654,1,2,20.71961595104904,20.930439544194652,996356766.839788,1230196247.2266302,0.6458333333333334,1.1458333333333333,0.42164718629122444,1.6439032515710907,893650939.4403663,3.4293084596893753,2.2341273486009157,3.318251927461688,0.15705765406652042,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,C,5,Ash Leachate,10,1.5,3.5,2018-10-18T08:00:00Z,FALSE,FALSE,TRUE,FALSE,63.5,2.6458333333333335,1374719189.12593,21.041515321117725,0.002181590445619719,1,2,20.71961595104904,20.930439544194652,996356766.839788,1230196247.2266302,0.6458333333333334,1.1458333333333333,0.42164718629122444,1.6439032515710907,893650939.4403663,3.4367979728148255,2.2341273486009157,3.4465598240299253,0.013805342382262515,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,C,6,Ash Leachate,10,1.5,3.5,2018-10-18T20:00:00Z,FALSE,FALSE,TRUE,FALSE,75.5,3.1458333333333335,1082805713.9993799,20.8028213927494,-0.23869392836832404,1,2,20.71961595104904,20.930439544194652,996356766.839788,1230196247.2266302,0.6458333333333334,1.1458333333333333,0.42164718629122444,1.6439032515710907,893650939.4403663,2.7070142849984498,2.2341273486009157,2.9079531566170873,0.28417047745102375,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,C,7,Ash Leachate,10,1.5,3.5,2018-10-19T08:00:00Z,FALSE,FALSE,TRUE,FALSE,87.5,3.6458333333333335,700633125.581658,20.367494949342227,-0.43532644340717397,1,2,20.71961595104904,20.930439544194652,996356766.839788,1230196247.2266302,0.6458333333333334,1.1458333333333333,0.42164718629122444,1.6439032515710907,893650939.4403663,1.751582813954145,2.2341273486009157,1.6696147350306825,0.11592036889522887,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,C,8,Ash Leachate,10,1.5,3.5,2018-10-19T20:00:00Z,TRUE,TRUE,TRUE,TRUE,99.5,4.145833333333333,269659900.08467805,19.4126720936468,-0.9548228556954257,1,2,20.71961595104904,20.930439544194652,996356766.839788,1230196247.2266302,0.6458333333333334,1.1458333333333333,0.42164718629122444,1.6439032515710907,893650939.4403663,0.6741497502116951,2.2341273486009157,0.7159128068560375,0.05906188111258487,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,D,0,Ash Leachate,10,1.5,3.5,2018-10-15T16:30:00Z,TRUE,TRUE,TRUE,TRUE,0,0,378432328.529969,19.75154782629701,0,1,2,20.857664192954164,20.973502882130806,1143848387.7767,1284329824.80722,0.6458333333333334,1.1458333333333333,0.23167737835328245,2.9918638819495458,905897496.277251,0.9460808213249224,2.2647437406931274,0.8937220453952912,0.07404649102893844,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
